Country,Happiness score,ISO_A3
Finland,7.821000099182129,FIN
Denmark,7.636199951171875,DNK
Iceland,7.557499885559082,ISL
Switzerland,7.511600017547607,CHE
Netherlands,7.414899826049805,NLD
Luxembourg*,7.4039998054504395,LUX
Sweden,7.384300231933594,SWE
Norway,7.365099906921387,NOR
Israel,7.363800048828125,ISR
New Zealand,7.19980001449585,NZL
Austria,7.163000106811523,AUT
Australia,7.162099838256836,AUS
Ireland,7.040800094604492,IRL
Germany,7.03410005569458,DEU
Canada,7.025100231170654,CAN
United States,6.976799964904785,USA
United Kingdom,6.942500114440918,GBR
Czechia,6.9197998046875,CZE
Belgium,6.804999828338623,BEL
France,6.686699867248535,FRA
Bahrain,6.646900177001953,BHR
Slovenia,6.630099773406982,SVN
Costa Rica,6.581999778747559,CRI
United Arab Emirates,6.576000213623047,ARE
Saudi Arabia,6.522799968719482,SAU
Taiwan Province of China,6.512499809265137,TWN
Singapore,6.480199813842773,SGP
Romania,6.4770002365112305,ROU
Spain,6.47629976272583,ESP
Uruguay,6.473599910736084,URY
Italy,6.466700077056885,ITA
Kosovo,6.455100059509277,SRB
Malta,6.446899890899658,MLT
Lithuania,6.4456000328063965,LTU
Slovakia,6.390699863433838,SVK
Estonia,6.340799808502197,EST
Panama,6.309100151062012,PAN
Brazil,6.292799949645996,BRA
Guatemala*,6.262199878692627,GTM
Kazakhstan,6.234099864959717,KAZ
Cyprus,6.220900058746338,CYP
Latvia,6.1803998947143555,LVA
Serbia,6.177999973297119,SRB
Chile,6.171800136566162,CHL
Nicaragua,6.164599895477295,NIC
Mexico,6.127600193023682,MEX
Croatia,6.125199794769287,HRV
Poland,6.122799873352051,POL
El Salvador,6.119999885559082,SLV
Kuwait*,6.106100082397461,KWT
Hungary,6.085899829864502,HUN
Mauritius,6.071100234985352,MUS
Uzbekistan,6.062699794769287,UZB
Japan,6.038899898529053,JPN
Honduras,6.02209997177124,HND
Portugal,6.016300201416016,PRT
Argentina,5.9670000076293945,ARG
Greece,5.948200225830078,GRC
South Korea,5.935100078582764,KOR
Philippines,5.903600215911865,PHL
Thailand,5.891200065612793,THA
Moldova,5.856800079345703,MDA
Jamaica,5.849599838256836,JAM
Kyrgyzstan,5.828499794006348,KGZ
Belarus*,5.821499824523926,BLR
Colombia,5.780600070953369,COL
Bosnia and Herzegovina,5.76800012588501,BIH
Mongolia,5.760700225830078,MNG
Dominican Republic,5.737199783325195,DOM
Malaysia,5.711299896240234,MYS
Bolivia,5.600299835205078,BOL
China,5.585299968719482,CHN
Paraguay,5.5782999992370605,PRY
Peru,5.559100151062012,PER
Montenegro,5.546800136566162,MNE
Ecuador,5.533299922943115,ECU
Vietnam,5.485000133514404,VNM
Turkmenistan*,5.474299907684326,TKM
North Cyprus*,5.466599941253662,CYP
Russia,5.458600044250488,RUS
Hong Kong S.A.R. of China,5.424799919128418,HKG
Armenia,5.398600101470947,ARM
Tajikistan,5.377099990844727,TJK
Nepal,5.376500129699707,NPL
Bulgaria,5.3709001541137695,BGR
Libya*,5.3302001953125,LBY
Indonesia,5.23960018157959,IDN
Ivory Coast,5.234600067138672,CIV
North Macedonia,5.198999881744385,MKD
Albania,5.198800086975098,ALB
South Africa,5.193900108337402,ZAF
Azerbaijan*,5.173399925231934,AZE
Gambia*,5.163599967956543,GMB
Bangladesh,5.1554999351501465,BGD
Laos,5.1402997970581055,LAO
Algeria,5.122300148010254,DZA
Liberia*,5.121500015258789,LBR
Ukraine,5.084099769592285,UKR
Congo,5.075200080871582,COG
Morocco,5.059899806976318,MAR
Mozambique,5.048299789428711,MOZ
Cameroon,5.047599792480469,CMR
Senegal,5.04610013961792,SEN
Niger*,5.003499984741211,NER
Georgia,4.973199844360352,GEO
Gabon,4.9583001136779785,GAB
Iraq,4.940899848937988,IRQ
Venezuela,4.92549991607666,VEN
Guinea,4.890500068664551,GIN
Iran,4.887899875640869,IRN
Ghana,4.872000217437744,GHA
Turkey,4.744200229644775,TUR
Burkina Faso,4.670499801635742,BFA
Cambodia,4.6402997970581055,KHM
Benin,4.623199939727783,BEN
Comoros*,4.60860013961792,COM
Uganda,4.60260009765625,UGA
Nigeria,4.552000045776367,NGA
Kenya,4.543000221252441,KEN
Tunisia,4.515999794006348,TUN
Pakistan,4.5157999992370605,PAK
Palestinian Territories*,4.482500076293945,PSE
Mali,4.479000091552734,MLI
Namibia,4.459400177001953,NAM
"Eswatini, Kingdom of*",4.396100044250488,SWZ
Myanmar,4.394199848175049,MMR
Sri Lanka,4.362199783325195,LKA
Madagascar*,4.339099884033203,MDG
Egypt,4.287700176239014,EGY
Chad*,4.250800132751465,TCD
Ethiopia,4.241499900817871,ETH
Yemen*,4.196899890899658,YEM
Mauritania*,4.152599811553955,MRT
Jordan,4.152100086212158,JOR
Togo,4.112299919128418,TGO
India,3.777100086212158,IND
Zambia,3.7597999572753906,ZMB
Malawi,3.7504000663757324,MWI
Tanzania,3.702399969100952,TZA
Sierra Leone,3.5739998817443848,SLE
Lesotho*,3.5118000507354736,LSO
Botswana*,3.471100091934204,BWA
Rwanda*,3.268199920654297,RWA
Zimbabwe,2.9951000213623047,ZWE
Lebanon,2.9553000926971436,LBN
Afghanistan,2.4038000106811523,AFG
