,ISO_A3,AG.PRD.CROP.XD,AG.PRD.FOOD.XD,AG.PRD.LVSK.XD,CC.EST,CC.NO.SRC,CC.PER.RNK,CC.PER.RNK.LOWER,CC.PER.RNK.UPPER,CC.STD.ERR,EG.ELC.ACCS.UR.ZS,EG.ELC.ACCS.ZS,ER.LND.PTLD.ZS,ER.PTD.TOTL.ZS,GE.EST,GE.NO.SRC,GE.PER.RNK,GE.PER.RNK.LOWER,GE.PER.RNK.UPPER,GE.STD.ERR,IQ.SPI.PIL1,IQ.SPI.PIL3,IT.MLT.MAIN.P2,IT.NET.SECR,IT.NET.SECR.P6,PV.EST,PV.NO.SRC,PV.PER.RNK,PV.PER.RNK.LOWER,PV.PER.RNK.UPPER,PV.STD.ERR,RL.EST,RL.NO.SRC,RL.PER.RNK,RL.PER.RNK.LOWER,RL.PER.RNK.UPPER,RL.STD.ERR,RQ.EST,RQ.NO.SRC,RQ.PER.RNK,RQ.PER.RNK.LOWER,RQ.PER.RNK.UPPER,RQ.STD.ERR,SE.SEC.DURS,SH.TBS.INCD,SM.POP.NETM,SP.ADO.TFRT,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.DYN.LE00.FE.IN,SP.DYN.LE00.IN,SP.DYN.LE00.MA.IN,SP.DYN.TFRT.IN,SP.DYN.TO65.FE.ZS,SP.DYN.TO65.MA.ZS,SP.POP.0004.FE.5Y,SP.POP.0004.MA.5Y,SP.POP.0014.FE.IN,SP.POP.0014.FE.ZS,SP.POP.0014.MA.IN,SP.POP.0014.MA.ZS,SP.POP.0014.TO,SP.POP.0014.TO.ZS,SP.POP.0509.FE.5Y,SP.POP.0509.MA.5Y,SP.POP.1014.FE.5Y,SP.POP.1014.MA.5Y,SP.POP.1519.FE.5Y,SP.POP.1519.MA.5Y,SP.POP.1564.FE.IN,SP.POP.1564.FE.ZS,SP.POP.1564.MA.IN,SP.POP.1564.MA.ZS,SP.POP.1564.TO,SP.POP.1564.TO.ZS,SP.POP.2024.FE.5Y,SP.POP.2024.MA.5Y,SP.POP.2529.FE.5Y,SP.POP.2529.MA.5Y,SP.POP.3034.FE.5Y,SP.POP.3034.MA.5Y,SP.POP.3539.FE.5Y,SP.POP.3539.MA.5Y,SP.POP.4044.FE.5Y,SP.POP.4044.MA.5Y,SP.POP.4549.FE.5Y,SP.POP.4549.MA.5Y,SP.POP.5054.FE.5Y,SP.POP.5054.MA.5Y,SP.POP.5559.FE.5Y,SP.POP.5559.MA.5Y,SP.POP.6064.FE.5Y,SP.POP.6064.MA.5Y,SP.POP.6569.FE.5Y,SP.POP.6569.MA.5Y,SP.POP.65UP.FE.IN,SP.POP.65UP.FE.ZS,SP.POP.65UP.MA.IN,SP.POP.65UP.MA.ZS,SP.POP.65UP.TO,SP.POP.65UP.TO.ZS,SP.POP.7074.FE.5Y,SP.POP.7074.MA.5Y,SP.POP.7579.FE.5Y,SP.POP.7579.MA.5Y,SP.POP.80UP.FE.5Y,SP.POP.80UP.MA.5Y,SP.POP.BRTH.MF,SP.POP.DPND,SP.POP.DPND.OL,SP.POP.DPND.YG,SP.POP.GROW,SP.POP.TOTL,SP.POP.TOTL.FE.IN,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.MA.IN,SP.POP.TOTL.MA.ZS,SP.RUR.TOTL,SP.RUR.TOTL.ZS,SP.URB.GROW,SP.URB.TOTL,SP.URB.TOTL.IN.ZS,VA.EST,VA.NO.SRC,VA.PER.RNK,VA.PER.RNK.LOWER,VA.PER.RNK.UPPER,VA.STD.ERR,Happiness score
0,AFG,121.34,111.43,95.4,-1.18368434906006,8.0,12.2641506195068,4.71698093414307,20.2830181121826,0.173358500003815,95.9,85.3,3.6372566,3.6372565953286,-1.88003480434418,6.0,1.88679242134094,0.0,8.49056625366211,0.284960269927979,80.0,74.15,0.4,1491.0,36.2519949842411,-2.54495596885681,5.0,0.943396210670471,0.0,4.24528312683105,0.240797773003578,-1.65984559059143,9.0,5.18867921829224,1.41509437561035,7.07547187805176,0.171497702598572,-1.27180624008179,6.0,8.96226406097412,3.77358484268188,18.3962268829346,0.22212877869606,6.0,185.0,-65846.0,79.735,35.143,6.906,66.213,62.879,59.766,4.523,66.852465,52.99077,15.8714138250099,16.2681190162475,8662674.0,42.5426457847725,9076426.0,43.7071791113759,17739100.0,43.1306335411773,14.2594272983213,14.6466375896266,12.4118046614412,12.7924225055019,11.4821713174362,11.8257667827739,11136302.0,54.6907085137461,11268607.0,54.2635421127991,22404909.0,54.4750267397973,9.96719235800581,10.1396835336549,8.29467248073637,8.28822530118544,6.40727050427287,6.37826402808917,4.87278002432826,4.84448178460229,3.98686957665796,3.95296170619888,3.31895482093429,3.23156947155416,2.67568115611922,2.49015214065077,2.09516799379875,1.81619460859015,1.58994828145641,1.29624275549947,1.15050444376967,0.897317893936766,563354.0,2.7666457014814,421409.0,2.02927877582496,984763.0,2.3943397190254,0.795333873644808,0.577472539590557,0.501077258893126,0.348894625280537,0.319730125173795,0.205593717017099,1.052,83.5703595136227,4.39530015497943,79.1750593586432,2.53449831666733,41128771.0,20362329.0,49.5087222518757,20766442.0,50.4912777481243,30181937.0,73.384,3.67564741322498,10946834.0,26.616,-1.75352871417999,9.0,2.4154589176178,0.0,6.7632851600647,0.132442235946655,2.4038000106811523
1,ALB,121.68,105.4,83.74,-0.408189445734024,9.0,38.6792449951172,26.8867931365967,50.0,0.158062413334846,100.0,100.0,18.591568,14.1751972700153,0.0645405352115631,6.0,56.1320762634277,35.8490562438965,68.3962249755859,0.267504096031189,100.0,80.05625,6.27,3076.0,1107.39539235674,0.106261312961578,6.0,49.5283012390137,35.8490562438965,60.8490562438965,0.233049780130386,-0.165585100650787,10.0,47.1698112487793,38.6792449951172,54.7169799804688,0.157532021403313,0.159353822469711,7.0,57.5471687316895,43.8679237365723,68.8679275512695,0.225545197725296,7.0,15.0,-8000.0,14.46,10.116,11.194,79.472,76.833,74.502,1.376,89.707203,81.240663,4.74416596613216,5.07510331930116,220001.0,15.8033916985344,228501.0,16.4914496864362,448503.0,16.1466104637724,5.44437287974967,5.58349176390266,5.61485285265258,5.83285460323237,6.16929008797778,6.46181602869489,932631.0,66.9937855715045,933926.0,67.4035759992411,1866557.0,67.1981982330638,7.14934810803032,7.21709872278688,8.11452379155603,8.11577122096806,7.31347500802909,7.77401259051349,6.0950890044454,6.76220814655806,5.57234693394033,5.76902392310413,5.91435987525513,5.64203260866115,6.68662678153678,6.25854528822021,7.05029633048615,6.71188417940724,6.92842965024754,6.69118329032697,5.73071745849004,5.48337281313798,239483.0,17.2028227299611,223146.0,16.1049743143227,462629.0,16.6551913031639,4.46982553619409,4.25658945975617,3.17414966225169,3.04317175707524,3.82813007302524,3.32184028435334,1.072,48.8135106508936,24.7851525562841,24.0283580946095,-1.21579032012532,2777689.0,1392115.0,50.1177382850143,1385573.0,49.8822265324712,1005551.0,36.201,0.0937160630163749,1772138.0,63.799,0.141740188002586,10.0,52.1739120483398,42.9951705932617,58.4541053771973,0.12435869127512,5.198800086975098
2,ARE,116.03,124.86,132.1,1.1556144952774,8.0,83.4905624389648,79.7169799804688,89.1509399414062,0.162937715649605,100.0,100.0,19.351305,15.9236658269911,1.29912793636322,7.0,88.6792449951172,77.3584899902344,96.2264175415039,0.247945472598076,90.0,69.2375,22.3,16388.0,1735.80935076727,0.744183301925659,7.0,71.698112487793,56.6037750244141,89.6226425170898,0.226557314395905,0.836056530475616,10.0,78.7735824584961,68.3962249755859,83.4905624389648,0.164509877562523,1.03478074073792,8.0,82.0754699707031,73.1132049560547,88.2075500488281,0.212983131408691,8.0,0.76,0.0,2.844,9.888,1.865,81.412,79.196,77.72,1.443,91.819945,87.710539,8.03868272606009,3.7959562866233,693572.0,23.9709585780943,744515.0,11.3705651900868,1438088.0,15.2321568337938,8.24337380669593,3.89836560500838,7.68890204533826,3.67624329845516,5.75797997120673,2.37298526026674,2120000.0,73.2705936594324,5710367.0,87.2112211473142,7830368.0,82.9388933748757,4.85664798439337,6.13379967207026,9.08280596650739,13.1344857098873,14.1254990479143,16.6777442734475,13.6109286546603,16.5921499068992,10.4004669963498,12.9614261034029,6.88729755758352,8.7351231202686,4.20702813608077,5.73288295938265,2.65837464740687,3.25098232307189,1.68356469732937,1.61964181861722,1.02556366082697,0.71863683125058,79813.0,2.75844776247332,92861.0,1.4182136625989,172674.0,1.82894979133056,0.633583265549394,0.306281064134456,0.383460960684624,0.155297763626678,0.715839875412342,0.23799800358719,1.046,20.5707062554404,2.20518371550354,18.3655225399368,0.808075150558113,9441129.0,2893385.0,30.6465995751144,6547744.0,69.3534004248856,1176081.0,12.457,1.08718897544759,8265048.0,87.543,-1.12749147415161,8.0,18.3574886322021,11.5942029953003,23.6714973449707,0.129754200577736,6.576000213623047
3,ARG,107.33,109.39,113.91,-0.447221606969833,11.0,36.3207550048828,25.0,48.113208770752,0.158184841275215,100.0,100.0,8.6914997,9.55264564367104,-0.28348970413208,8.0,41.5094337463379,26.4150943756104,57.5471687316895,0.244514212012291,90.0,83.3375,15.5,240087.0,5192.77349997826,-0.0985943302512169,7.0,44.3396224975586,28.7735843658447,53.301887512207,0.226557314395905,-0.482351809740067,12.0,34.4339637756348,23.5849056243896,44.3396224975586,0.161367252469063,-0.697565734386444,8.0,25.943395614624,15.5660381317139,39.6226425170898,0.212983131408691,6.0,29.0,3886.0,37.932,13.794,8.589,79.277,76.064,72.851,1.876,86.051875,77.204765,6.87410380143763,7.36568155235163,5186143.0,22.214714630099,5472525.0,23.9086639305084,10658669.0,23.0533315543961,7.7535299523697,8.34967812909873,7.58708087629164,8.19330424905807,7.3926505832256,7.94283396677508,14905735.0,63.8483416298585,15160008.0,66.2318590742544,30065743.0,65.0283403864592,7.40100578332155,7.89676554352684,7.51341803794575,7.97954401337522,7.24569044653801,7.66464140773419,6.8964844233613,7.23988828179894,6.77116294942219,7.07070516533124,6.18636639354011,6.35321260842523,5.27938984062499,5.27141134217496,4.77541243900432,4.6812677167252,4.38676073287464,4.13158902838746,3.98059139237712,3.50317081862427,3253654.0,13.9369437400426,2256765.0,9.85947699523719,5510419.0,11.9183280591447,3.38265715467751,2.70665912078662,2.65857027469592,1.85733040511052,3.91512491829202,1.79231665071578,1.051,53.7791066729999,18.3278989646123,35.4512077083876,0.925835473662058,46234830.0,23345532.0,50.4933870161048,22889298.0,49.5066129838952,3538352.0,7.65300000000001,1.0536956642987,42696478.0,92.347,0.546316981315613,12.0,62.8019332885742,57.9710159301758,70.5314025878906,0.127925887703896,5.9670000076293945
4,ARM,73.65,83.87,100.02,0.0279071740806103,8.0,56.1320762634277,47.6415100097656,63.2075462341309,0.175950661301613,100.0,100.0,24.6810169,24.6810162414224,-0.314792364835739,6.0,39.6226425170898,24.5283012390137,57.5471687316895,0.267504096031189,100.0,83.65,12.7,2560.0,920.707981279417,-0.740756273269653,5.0,19.3396224975586,12.7358493804932,34.9056587219238,0.239764600992203,-0.169515803456306,9.0,46.2264137268066,38.2075462341309,54.7169799804688,0.168110907077789,-0.0190788023173809,6.0,51.886791229248,36.3207550048828,63.6792449951172,0.248197242617607,8.0,25.0,-5000.0,18.305,11.7,11.881,78.447,73.372,67.866,1.575,86.906347,64.400285,5.49095149244588,7.36565743671297,270620.0,17.6831011431396,298758.0,23.8990991365742,569378.0,20.4777683189419,6.40130737873765,8.66661573653175,5.79084227195608,7.8668259633295,5.07615539955325,6.73057731974432,1018361.0,66.5425915803842,827146.0,66.167484681962,1845507.0,66.3739462658997,5.11222462502217,6.37019995144305,6.870664709432,7.72703474221819,9.20209580495958,9.69363123995813,8.45329999108071,8.19384542650722,6.52663486868221,5.9921036958879,5.56616105497257,4.73686252503343,5.43233900105888,4.84149595405409,6.68773754149676,5.32474560597595,7.61527858412608,6.55698822113971,5.787836503167,4.63682880715091,241408.0,15.7743072764762,124176.0,9.9334161814638,365584.0,13.1482854151584,3.93794917048949,2.77202591677243,1.78575337471057,1.06173332314731,4.2627682281091,1.46282813439316,1.091,50.6615255320083,19.8094073877802,30.8521181442281,-0.377102034390101,2780469.0,1530390.0,55.040714354305,1250079.0,44.959285645695,1012841.0,36.427,-0.153477828560035,1767628.0,63.573,0.0903258174657822,9.0,51.2077293395996,41.5458946228027,57.487922668457,0.129869386553764,5.398600101470947
5,AUS,146.08,112.1,87.48,1.76436710357666,9.0,95.2830200195312,89.6226425170898,97.1698150634766,0.162904232740402,100.0,100.0,20.3629208,32.1204150724308,1.52843272686005,6.0,92.9245300292969,80.6603775024414,98.1132049560547,0.265472203493118,90.0,80.48125,26.1,1255844.0,48274.9572650131,0.983715951442719,8.0,83.0188674926758,66.9811325073242,96.2264175415039,0.214086413383484,1.5088187456131,9.0,91.0377349853516,86.3207550048828,99.0566024780273,0.168175846338272,1.89489328861237,7.0,99.5283050537109,91.5094375610352,100.0,0.234129175543785,6.0,5.6,139991.0,7.731,11.6,7.3,85.3,83.2,81.2,1.63,93.468752,89.287141,5.63502776429786,6.03818269829366,2301345.0,17.5715455697523,2428085.0,18.7970078966958,4729430.0,18.180046703239,5.96608689743594,6.3846690364037,5.97043090801848,6.37415616199843,5.65923281889752,6.03934823102136,8463158.0,64.6190771265231,8424836.0,65.2208149835656,16887993.0,64.9178689865597,6.11968655895974,6.50122230917344,7.13914806782014,7.51902857193852,7.54399847242583,7.57229687957269,7.33813789756186,7.28682214078281,6.53207543433182,6.56565357382338,6.23381073567014,6.23234968012858,6.39150021676423,6.19894928186259,5.91195179961736,5.75748548969454,5.74953512447449,5.54765882556768,5.06976765537739,4.80853413064491,2332493.0,17.8093773037246,2064482.0,15.9821771197386,4396976.0,16.9020843102012,4.43098943548008,4.23350721183953,3.42777338802967,3.2218132642702,4.88084682483747,3.71832251298396,1.056,54.0407969141153,26.0361074285144,28.0046894856008,1.27269881377618,26014399.0,13096996.0,50.3451811682079,12917404.0,49.6548226518793,3515066.0,13.512,1.41848597605496,22499333.0,86.488,1.32390677928925,10.0,93.2367172241211,84.5410614013672,97.5845413208008,0.13832688331604,7.162099838256836
6,AUT,100.31,100.45,100.45,1.25858676433563,10.0,84.9056625366211,81.1320724487305,90.0943374633789,0.162994086742401,100.0,100.0,29.5004673,29.5004667251294,1.46492278575897,7.0,91.5094375610352,80.6603775024414,97.6415100097656,0.238242536783218,100.0,85.03125,40.6,357555.0,39544.447259748,0.648710012435913,7.0,68.3962249755859,53.301887512207,83.9622650146484,0.226557314395905,1.70427322387695,10.0,95.7547149658203,89.6226425170898,100.0,0.164599150419235,1.28319978713989,7.0,87.2641525268555,77.3584899902344,95.2830200195312,0.234129175543785,8.0,4.4,19999.0,5.243,9.1,10.3,83.5,81.0926829268293,78.8,1.41,93.368196,88.047364,4.57764944110382,4.97424910939204,631381.0,13.7546409425327,668665.0,15.020981744326,1300046.0,14.3780936028915,4.65873510766987,5.1066446090811,4.51825639375905,4.94008802585291,4.64667141135332,5.03754992664512,2951856.0,64.3062107654443,2999027.0,67.3705758443081,5950883.0,65.8148777514741,5.09114425536697,5.576061294095,6.19182709362971,6.6978444776626,6.68162418115596,7.18063249467703,6.65008229754473,7.01755223055857,6.4418816281473,6.73402773375576,6.46134879836771,6.57562800386348,7.46727378090565,7.6447097353067,7.7768425505849,8.00594018868006,6.89751476838805,6.90062975906382,5.66166344600862,5.29368420980881,1007075.0,21.939148292023,783847.0,17.6084424113658,1790922.0,19.8070286456344,4.94512395310252,4.34578514484776,4.10343049658361,3.33230179812038,7.22893039632823,4.63667125858884,1.055,51.9413337482858,30.0950632032255,21.8462705450603,0.956287797076634,9041851.0,4590312.0,50.7673874619013,4451539.0,49.2326125380987,3684012.0,40.744,1.39772647778413,5357839.0,59.256,1.41365766525269,9.0,94.2028961181641,88.8888854980469,98.0676345825195,0.109558649361134,7.163000106811523
7,AZE,144.86,129.02,121.33,-1.04090738296509,6.0,16.9811325073242,7.07547187805176,24.5283012390137,0.185500845313072,100.0,100.0,10.1551256,5.51915287902806,-0.0412070974707603,5.0,50.9433975219727,32.0754699707031,65.5660400390625,0.290294349193573,80.0,70.1875,15.9,5523.0,544.580248233146,-0.922807276248932,5.0,16.0377349853516,10.8490562438965,25.943395614624,0.239764600992203,-0.625552177429199,8.0,27.3584899902344,19.8113212585449,40.0943412780762,0.173402741551399,-0.103344202041626,5.0,48.113208770752,32.5471687316895,61.3207550048828,0.251928895711899,7.0,68.0,0.0,40.081,12.1,6.0,76.249,73.488,70.55,1.67,85.227334,73.805811,6.0182174335337,6.97056603625915,1111076.0,21.6261867102554,1270234.0,25.3838037624875,2381310.0,23.4802580093558,7.87736149754542,9.24332999566119,7.7306077791763,9.16990773056719,6.38671686842564,7.44085985739156,3597430.0,70.0210101469795,3442174.0,68.7869184122594,7039605.0,69.4120885794019,6.08757788519326,6.71600942896457,7.74889362980615,8.16498633543654,9.11167070832563,9.02442305312377,8.66665466032389,8.41838853536522,7.22486441170398,7.09285495213857,6.18518182891476,5.79547716890398,6.38623089740838,5.68311811299398,6.4520370904515,5.54795462005079,5.7711821664264,4.90284634789044,3.72310019397867,2.94590085108194,429137.0,8.35280314276504,291704.0,5.82927782525305,720841.0,7.10765341124228,2.19751329583352,1.56609055543136,0.955257029594587,0.58548019677754,1.47693262335826,0.731806221962209,1.122,44.0671174021838,10.2397932838561,33.8273241183277,0.039507866238038,10141756.0,5137643.0,50.6583173667228,5004112.0,49.3416729789727,4343714.0,42.83,0.731066864167429,5798042.0,57.17,-1.44162666797638,9.0,9.66183567047119,4.8309178352356,14.4927539825439,0.129869386553764,5.173399925231934
8,BEL,95.86,100.0,102.29,1.49497354030609,10.0,89.6226425170898,83.9622650146484,94.8113174438477,0.162994086742401,100.0,100.0,15.5545855,17.838189781615,1.22718644142151,7.0,84.9056625366211,76.8867950439453,95.7547149658203,0.238242536783218,100.0,77.625,25.5,360344.0,30836.0204945928,0.581981599330902,7.0,66.5094375610352,51.886791229248,81.1320724487305,0.226557314395905,1.34823083877563,10.0,88.2075500488281,83.0188674926758,92.9245300292969,0.164599150419235,1.25295519828796,7.0,86.7924499511719,76.8867950439453,94.8113174438477,0.234129175543785,6.0,7.8,23999.0,5.105,9.8,10.0,83.9,81.6975609756098,79.6,1.53,92.297342,87.758835,4.92651734974044,5.27144791901794,943740.0,15.9638132289121,988347.0,17.1170020662233,1932087.0,16.5336142204011,5.35603387019365,5.74629729307381,5.68126200897801,6.09925685413158,5.42879576978715,5.85045057559078,3688959.0,62.4004812918565,3759262.0,65.1059764207456,7448221.0,63.7372908039084,5.56524659000141,5.95977809803275,6.06399757149423,6.3793082492664,6.56864174960952,6.81164377615335,6.35382413344571,6.54940704599517,6.44680944878685,6.68881634920911,6.20578194663732,6.49802927439099,6.56494472266362,6.87968155852274,6.75664744099596,7.01237997673328,6.44579191843477,6.47648151685101,5.70837071344141,5.50185786467105,1279048.0,21.6357054792314,1026457.0,17.7770215130311,2305505.0,19.7290949756905,5.02654058335015,4.6169847030021,4.05251813323882,3.42746514333339,6.84827604920098,4.23071380202455,1.048,56.8940153628632,30.9537673492771,25.9402480135861,0.856132433382837,11685814.0,5911748.0,50.5890992825111,5774066.0,49.4109007174889,215837.0,1.84699999999999,0.89281600282862,11469977.0,98.153,1.29709255695343,9.0,92.7536239624023,86.4734268188477,96.1352691650391,0.109558649361134,6.804999828338623
9,BEN,128.14,126.25,140.91,-0.0898572877049446,12.0,51.886791229248,41.9811325073242,59.9056587219238,0.15856721997261,71.1,56.5,29.6433258,23.4877701634479,-0.170590236783028,10.0,44.8113212585449,32.0754699707031,59.4339637756348,0.211483865976334,90.0,78.85625,0.0111,113.0,8.46260397769347,-0.34320268034935,5.0,35.3773574829102,19.3396224975586,48.113208770752,0.240797773003578,-0.596109390258789,13.0,29.7169818878174,21.698112487793,40.0943412780762,0.148677244782448,-0.348364651203156,9.0,39.6226425170898,27.8301887512207,50.4716987609863,0.180236950516701,7.0,52.0,-200.0,90.835,36.071,9.323,61.676,59.954,58.265,4.895,60.391285,53.415754,16.0720628840191,16.4760411971665,2794824.0,41.9418482798032,2870931.0,42.9182821209111,5665755.0,42.4310058126856,13.9728349777724,14.2736192678003,11.8969504180117,12.1686216559443,10.345537053792,10.6156777358451,3642015.0,54.6556282376606,3635885.0,54.3537846663961,7277900.0,54.5044156819091,8.79452137435659,9.00942476000834,7.70710110452822,7.84373390618892,6.51781350204372,6.55189373469103,5.5431631307487,5.45339979773653,4.56386059782678,4.40768421784359,3.72665909214717,3.54214457577368,3.0783128380602,2.89575358838263,2.48907905058085,2.31287452564134,1.88958049357634,1.72119782428492,1.35606759680886,1.20402075256062,226729.0,3.40252348253616,182480.0,2.72793321269282,409209.0,3.06457850540528,0.921195533504643,0.746790207338741,0.645502432705356,0.46858450703699,0.479757919517304,0.308537745756466,1.041,83.4713859767241,5.62262465821185,77.8487613185122,2.70204108933956,13352864.0,6663569.0,49.9036686062256,6689295.0,50.0963313937744,6738656.0,50.466,3.84311253980829,6614208.0,49.534,-0.335694015026093,12.0,37.1980667114258,32.8502426147461,41.5458946228027,0.12386129796505,4.623199939727783
